danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,duration_ms,time_signature,track_name,artist_name,release_date,release_date_num,track_popularity,album_name,artist_id,total_tracks,track_number,tracks_external_id
0.69,0.83,6.00,-5.99,0.00,0.03,0.18,0.00,0.10,0.92,132.99,0xRlxSV0o8Qp0lUqMB0Hvp,245342,4,Любимой,Разные исполнители,2013-01-01,41275,3,"Лучшая лирика Кавказа, Ч. 2",0LyfQWJT6nXafLPZqxe9Of,23,18,FR6V81954589
0.58,0.94,9.00,-4.56,1.00,0.20,0.03,0.00,0.07,0.87,200.05,39SThewR1bSvDzohZLEBb0,253561,4,Кабарда,Азамат Закураев,2013-01-01,41275,0,Первый,7FxJiqc43m01oYPVWB6HBZ,13,1,FR6V81986463
0.80,0.87,7.00,-6.64,0.00,0.04,0.08,0.00,0.03,0.96,120.00,4haN2SuNYXoDv5RPrYzKxG,207186,4,Корочка льда,Айдамир Эльдаров,2013-01-01,41275,6,Боль утихнет,5hZ45bt97lUxyog80u54zs,20,7,FR6V81947095
0.72,0.88,2.00,-4.92,0.00,0.08,0.14,0.00,0.33,0.48,100.02,3g6DoR4sQ2CfqpXlPDQn12,219739,4,Кудрявая,Айдамир Эльдаров,2013-01-01,41275,2,Боль утихнет,5hZ45bt97lUxyog80u54zs,20,2,FR6V81947090
0.80,0.95,10.00,-2.77,0.00,0.06,0.07,0.00,0.07,0.85,115.05,4u4ymuXSeSXOaq2AyfEnNB,178433,4,Позабудь,Разные исполнители,2013-01-01,41275,0,"Танцуй, Кавказ!",0LyfQWJT6nXafLPZqxe9Of,24,20,FR6V81995182
0.67,0.92,9.00,-5.62,0.00,0.05,0.08,0.00,0.09,0.56,114.99,13dx64Xy1QDCOfgMc6d2z4,197637,4,Злая судьба,Разные исполнители,2013-01-01,41275,0,Хитовое лето Кавказа,0LyfQWJT6nXafLPZqxe9Of,21,14,FR6V81934752
0.70,0.96,5.00,-4.26,0.00,0.03,0.08,0.00,0.32,0.93,124.97,3Ht5yEo1xFoExj9WxBO1Wz,212481,4,Дочь Кавказа,Разные исполнители,2013-01-01,41275,0,"Caucasian Hit, Vol. 2",0LyfQWJT6nXafLPZqxe9Of,25,23,FR6V81980434
0.68,0.96,7.00,-3.10,0.00,0.03,0.05,0.00,0.28,0.96,135.00,04F3q46tFs9wTyzmQqm3Xp,224723,4,О любви,Разные исполнители,2013-01-01,41275,0,"Танцуй, Кавказ!",0LyfQWJT6nXafLPZqxe9Of,24,3,FR6V81973293
0.75,0.80,2.00,-3.35,0.00,0.03,0.03,0.00,0.09,0.80,125.01,0BvWTtrwiKDBj1UQbhrD1s,206289,4,Цыганочка,Разные исполнители,2013-01-01,41275,0,"Ресторанные хиты Юга, Ч. 2",0LyfQWJT6nXafLPZqxe9Of,23,3,FR6V81995190
0.49,0.78,9.00,-5.15,0.00,0.05,0.61,0.00,0.44,0.60,180.10,2TmDXLWClXi8MCGazHCofC,272998,3,Веза сан йиш йоцу везар,Тамара Дадашева,2013-01-01,41275,3,Къера дуй,0UomUj7mlFAijRj6PrwopR,27,8,FR6V81999005
0.68,0.96,4.00,-3.02,0.00,0.11,0.53,0.00,0.45,0.82,111.03,0gPfG5iwOwIv27iGumWzaa,208432,4,Iодика йойла,Тамара Дадашева,2013-01-01,41275,2,Къера дуй,0UomUj7mlFAijRj6PrwopR,27,6,FR6V81999003
0.69,0.95,5.00,-4.70,0.00,0.30,0.27,0.00,0.13,0.82,122.11,0luMJgR69edcfmTFvVT8Ci,216004,4,Веселей,Разные исполнители,2013-01-01,41275,0,Хитовое лето Кавказа,0LyfQWJT6nXafLPZqxe9Of,21,18,FR6V81934757
0.54,0.82,3.00,-3.56,0.00,0.04,0.62,0.00,0.11,0.41,73.02,0e6QM29HK62j5YNQKUk8Cr,223356,4,Прошу вернись,Хасбулат Рахманов,2013-01-01,41275,6,Помни обо мне,5uzJhvnoXNARehwwNi0DwA,30,4,FR6V82004382
0.69,0.67,4.00,-3.35,0.00,0.04,0.24,0.00,0.25,0.42,144.16,17bZmtuDLPdKJxWcwgmwYY,259985,4,Только ты,Хасбулат Рахманов,2013-01-01,41275,0,Помни обо мне,5uzJhvnoXNARehwwNi0DwA,30,15,FR6V82004389
0.74,0.64,5.00,-6.60,0.00,0.04,0.38,0.00,0.08,0.73,89.96,1dBRI1ZaLWDevJJwVPjnud,288078,4,Чародейка,Эльбрус Джанмирзоев,2013-01-01,41275,27,Сборник,4bnu8BeqS4NtzlJ006evSr,11,5,RUB421307462
0.52,0.71,5.00,-12.98,0.00,0.10,0.09,0.81,0.09,0.18,189.98,1qtGAQnWLMMXbM2fSlnHBw,250695,4,Песня джигита,Разные исполнители,2012-01-01,40909,4,"Лучшая кавказская гармошка, ч. 1",0LyfQWJT6nXafLPZqxe9Of,26,22,FR6V81945325
0.68,0.99,0.00,-4.39,1.00,0.06,0.03,0.79,0.29,0.65,100.08,3IDYwNyK1kXLRLSJUxLpYp,300972,4,Моя Теберда,Разные исполнители,2012-01-01,40909,5,"Лучшая кавказская гармошка, ч. 2",0LyfQWJT6nXafLPZqxe9Of,25,2,FR6V81945332
0.60,0.78,5.00,-7.50,0.00,0.39,0.73,0.00,0.24,0.54,150.22,5Urov67Rke4BGKKkuVT8jy,231569,4,Dagestan (Remix),Sabine Kors,2009-04-15,39918,39,Dagestan (Remix),1mMWW9EPf4RbcJv78HfndW,1,1,TCADO1835011
0.57,0.92,10.00,-5.56,0.00,0.11,0.27,0.00,0.18,0.78,187.34,1Ti90cOssG6eNQ7sBwulK9,208039,3,Красивая армянка,Спартак Арутюнян,2009-01-01,39814,3,Армения,21C7xdPTY794Ekw4PzakmC,11,3,GBLPF0082067
0.45,0.89,8.00,-4.50,0.00,0.12,0.71,0.00,0.26,0.65,147.67,14Y05tWgK0pIGlccWdIHsj,236826,4,Погасли свечи,Тимур Муцураев,2001-01-01,36892,17,Воздух воли не обнять,2gpg8gZUAYGGVIKBSVbjX6,10,4,GBLPF0098506
